humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AA 29 A 1,W2AA29A1,AA,29,A,1,33,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 29 B 1,W2AA29B1,AA,29,B,1,34,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 29 C 1,W2AA29C1,AA,29,C,1,35,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 29 D 1,W2AA29D1,AA,29,D,1,36,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 30 A 1,W2AA30A1,AA,30,A,1,34,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 30 B 1,W2AA30B1,AA,30,B,1,35,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 30 C 1,W2AA30C1,AA,30,C,1,36,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 30 D 1,W2AA30D1,AA,30,D,1,37,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 31 A 1,W2AA31A1,AA,31,A,1,35,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 31 B 1,W2AA31B1,AA,31,B,1,36,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 31 C 1,W2AA31C1,AA,31,C,1,37,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 31 D 1,W2AA31D1,AA,31,D,1,38,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 32 A 1,W2AA32A1,AA,32,A,1,36,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 32 B 1,W2AA32B1,AA,32,B,1,37,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 32 C 1,W2AA32C1,AA,32,C,1,38,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 32 D 1,W2AA32D1,AA,32,D,1,39,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 33 A 1,W2AA33A1,AA,33,A,1,37,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 33 B 1,W2AA33B1,AA,33,B,1,38,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 33 C 1,W2AA33C1,AA,33,C,1,39,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 33 D 1,W2AA33D1,AA,33,D,1,40,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 34 A 1,W2AA34A1,AA,34,A,1,38,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 34 B 1,W2AA34B1,AA,34,B,1,39,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 34 C 1,W2AA34C1,AA,34,C,1,40,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 34 D 1,W2AA34D1,AA,34,D,1,41,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 35 A 1,W2AA35A1,AA,35,A,1,39,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 35 B 1,W2AA35B1,AA,35,B,1,40,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 35 C 1,W2AA35C1,AA,35,C,1,41,C:\Users\ironman\Desktop\svgtopng\C1.png
